10oC	
Cell1
Cycles	Peak position	Peak height	Peak width
0	2.34533965762347	0.287654227703244	0.119768256059695
20	2.34336954628857	0.351687736128306	0.120047347354075
40	2.34036124075164	0.381424277859013	0.120001838146064
60	2.33826369665959	0.403575887453709	0.121095415306128
80	2.34290734059797	0.420812951421191	0.123321909777443
100	2.34295216311791	0.402949502034540	0.131390864719192
120	2.34661959252612	0.386407629302152	0.146383142347650
140	2.35417085615903	0.400217587561784	0.149085002862085
160	2.35796058115651	0.425509158819095	0.142223435887147

0.1C/1C
Cell1
Cycles	Peak position	Peak height	Peak width
0	2.34271599570530	0.268141723711140	0.115854153670000
20	2.33878420930408	0.344578092794403	0.108131384794242
40	2.33941624450817	0.355799566139924	0.114633198759200
60	2.33921974049784	0.362746227110472	0.118550877392004
80	2.33967693853072	0.360983604831784	0.122257533357835
100	2.34223606389347	0.364722107999122	0.124610166583764
120	2.34523396781181	0.364326233932333	0.127854855743575

Cell2
Cycles	Peak position	Peak height	Peak width
0	2.34289416714044	0.294547214158945	0.110685958690618
20	2.34159790332185	0.369558335767813	0.108538849923941
40	2.34169532909581	0.391059593895612	0.111684249687742
60	2.34243322352962	0.402024332307119	0.113779786977283
80	2.34307713301519	0.391186521572644	0.119879815860859
100	2.34647600083399	0.392540529929570	0.123789300905304
120	2.34923225374280	0.385314859253823	0.128401834030859
