10oC	
Cycles	Resistance 10% DOD Mean	Resistance 10% Errorbar	Resistance 70% DOD Mean	Resistance 70% DOD Errorbar
40	30.4000000000000	NaN	46.7000000000000	NaN
60	27.2000000000000	NaN	48.7000000000000	NaN
80	30	NaN	53.7000000000000	NaN
100	30.9000000000000	NaN	61.8000000000000	NaN

0.1C/1C
Cycles	Resistance 10% DOD Mean	Resistance 10% Errorbar	Resistance 70% DOD Mean	Resistance 70% DOD Errorbar
0	41.1500000000000	7.95000000000000	48.2000000000000	1.40000000000000
20	31.6000000000000	1.90000000000000	48.6000000000000	2.30000000000000
40	31.3500000000000	1.05000000000000	48.6500000000000	1.05000000000000
60	30.6500000000000	0.650000000000002	52.6000000000000	0.800000000000004
80	30.9500000000000	0.350000000000001	57.9000000000000	1.09999999999999
100	32.8500000000000	0.149999999999999	70.3000000000000	0.500000000000000
120	34.4000000000000	0.200000000000003	89.9000000000000	0.400000000000006

0.2C/0.2C
Cycles	Resistance 10% DOD Mean	Resistance 10% Errorbar	Resistance 70% DOD Mean	Resistance 70% DOD Errorbar
0	41.3500000000000	4.15000000000001	48.2000000000000	0.299999999999997
20	25.3000000000000	1.20000000000000	73.7000000000000	4.40000000000001
40	32.5500000000000	1.35000000000000	113.850000000000	15.2500000000000
60	126.050000000000	82.0500000000000	281.600000000000	118.500000000000

0.3C/0.2C
