Voltage [V]	Capacity [-]	dQ/dV [V/Ah]
2.222800	0.360602	0.028699
2.223000	0.361485	0.029046
2.223000	0.362369	0.029508
2.223000	0.363252	0.030086
2.223200	0.364167	0.030779
2.223200	0.365050	0.031588
2.223200	0.365934	0.032513
2.223400	0.366849	0.032235
2.223400	0.367732	0.034123
2.223600	0.368615	0.036049
2.223800	0.369530	0.039331
2.223800	0.370414	0.040588
2.224000	0.371297	0.039863
2.224000	0.372180	0.040479
2.224200	0.373095	0.039008
2.224200	0.373979	0.037497
2.224400	0.374862	0.035872
2.224400	0.375777	0.035371
2.224600	0.376660	0.035995
2.224800	0.377544	0.036504
2.224800	0.378427	0.035656
2.224800	0.379342	0.036897
2.225000	0.380225	0.034732
2.225000	0.381109	0.035972
2.225200	0.382024	0.033807
2.225200	0.382907	0.035035
2.225400	0.383790	0.032882
2.225600	0.384674	0.034123
2.225600	0.385589	0.034084
2.225600	0.386472	0.036211
2.225800	0.387355	0.035009
2.225800	0.388270	0.035163
2.226000	0.389154	0.033229
2.226000	0.390037	0.034701
2.226200	0.390920	0.032767
2.226200	0.391835	0.034238
2.226400	0.392719	0.034431
2.226400	0.393602	0.036789
2.226600	0.394517	0.035159
2.226600	0.395400	0.035239
2.226800	0.396284	0.033584
2.226800	0.397167	0.036269
2.227000	0.398082	0.035433
2.227000	0.398965	0.037887
2.227200	0.399849	0.036819
2.227200	0.400763	0.039042
2.227400	0.401647	0.037757
2.227400	0.402530	0.039736
2.227600	0.403414	0.038206
2.227600	0.404328	0.038649
2.227900	0.405212	0.037621
2.227900	0.406095	0.038487
2.228100	0.407010	0.039123
2.228100	0.407893	0.039528
2.228300	0.408777	0.039701
2.228300	0.409660	0.039643
2.228500	0.410575	0.039354
2.228500	0.411458	0.038834
2.228700	0.412342	0.038083
2.228700	0.413257	0.038164
2.228900	0.414140	0.038457
2.229100	0.415024	0.039000
2.229100	0.415938	0.038769
2.229300	0.416822	0.038422
2.229300	0.417705	0.036642
2.229500	0.418589	0.036796
2.229500	0.419503	0.036758
2.229700	0.420387	0.037844
2.229700	0.421270	0.035371
2.229900	0.422185	0.034832
2.229900	0.423068	0.034909
2.230100	0.423952	0.036920
2.230100	0.424835	0.037497
2.230300	0.425750	0.037960
2.230300	0.426633	0.038320
2.230500	0.427517	0.038538
2.230700	0.428432	0.038653
2.230700	0.429315	0.038653
2.230700	0.430198	0.038538
2.230900	0.431082	0.036989
2.231100	0.431997	0.037374
2.231100	0.432880	0.036262
2.231300	0.433763	0.038299
2.231300	0.434678	0.036712
2.231500	0.435562	0.038299
2.231500	0.436445	0.038376
2.231700	0.437328	0.039069
2.231700	0.438243	0.038252
2.231900	0.439127	0.037179
2.231900	0.440010	0.039177
2.232100	0.440925	0.039601
2.232300	0.441808	0.041881
2.232300	0.442692	0.040525
2.232500	0.443575	0.042344
2.232500	0.444490	0.040525
2.232700	0.445373	0.040578
2.232700	0.446257	0.039015
2.232900	0.447140	0.039246
2.233100	0.448055	0.037813
2.233100	0.448938	0.038083
2.233300	0.449822	0.038738
2.233300	0.450737	0.041095
2.233500	0.451620	0.041789
2.233500	0.452503	0.042136
2.233700	0.453387	0.042136
2.233700	0.454302	0.041789
2.233900	0.455185	0.041095
2.234100	0.456068	0.040864
2.234100	0.456983	0.041095
2.234300	0.457867	0.041130
2.234500	0.458750	0.041184
2.234500	0.459665	0.041219
2.234700	0.460548	0.040551
2.234700	0.461432	0.041442
2.234900	0.462315	0.040491
2.234900	0.463230	0.042367
2.235100	0.464113	0.042386
2.235100	0.464997	0.043992
2.235300	0.465912	0.043819
2.235500	0.466795	0.044008
2.235500	0.467678	0.044512
2.235800	0.468562	0.045379
2.235800	0.469477	0.044466
2.236000	0.470360	0.045140
2.236200	0.471243	0.043958
2.236200	0.472127	0.045603
2.236400	0.473042	0.043279
2.236400	0.473925	0.043753
2.236600	0.474808	0.042386
2.236600	0.475723	0.041288
