chemistry,cell_key,days_passed,temperature,state_of_charge,soh,predicted_soh,lower_soh,upper_soh,covered
LTO,LTO_8_20_60,81,60,20,0.965406829591124,0.959002099786804,0.8969019014054888,1.021102298168119,True
LTO,LTO_8_20_60,120,60,20,0.950578928898905,0.9611214610808921,0.8990212626995769,1.0232216594622074,True
LTO,LTO_20_50_50,0,50,50,1.0,0.9741001686430979,0.9119999702617827,1.036200367024413,True
LTO,LTO_20_50_50,99,50,50,0.9422786380010604,0.9378099613421931,0.8757097629608779,0.9999101597235083,True
LTO,LTO_20_50_50,152,50,50,0.8763053247839419,0.9386028022484489,0.8765026038671337,1.0007030006297641,False
LTO,LTO_21_50_50,0,50,50,1.0,0.9741001686430979,0.9119999702617827,1.036200367024413,True
LTO,LTO_21_50_50,99,50,50,0.9380494946502023,0.9378099613421931,0.8757097629608779,0.9999101597235083,True
LTO,LTO_21_50_50,152,50,50,0.8740904802490626,0.9386028022484489,0.8765026038671337,1.0007030006297641,False
LTO,LTO_38_100_50,0,50,100,1.0,0.9728721836035362,0.910771985222221,1.0349723819848515,True
LTO,LTO_38_100_50,99,50,100,0.9669542351652798,0.8834899940642091,0.8213897956828939,0.9455901924455243,False
LTO,LTO_38_100_50,152,50,100,0.910668840801297,0.8558598545801988,0.7937596561988836,0.917960052961514,True
NCA,NCA_7_20_60,0,60,20,1.0,0.999517529198709,0.9374173308173938,1.0616177275800243,True
NCA,NCA_7_20_60,28,60,20,0.9828050782955384,0.9888804584327351,0.9267802600514199,1.0509806568140503,True
NCA,NCA_7_20_60,56,60,20,0.9758175326968739,0.9821791400103239,0.9200789416290087,1.0442793383916391,True
NCA,NCA_7_20_60,81,60,20,0.9663196701946509,0.9795216311224699,0.9174214327411547,1.0416218295037851,True
NCA,NCA_7_20_60,120,60,20,0.9583676846936424,0.9816409924165581,0.9195407940352429,1.0437411907978733,True
NCA,NCA_72_20_60,0,60,20,1.0,0.999517529198709,0.9374173308173938,1.0616177275800243,True
NCA,NCA_72_20_60,28,60,20,0.9795352840543881,0.9888804584327351,0.9267802600514199,1.0509806568140503,True
NCA,NCA_72_20_60,56,60,20,0.9729249265760198,0.9821791400103239,0.9200789416290087,1.0442793383916391,True
NCA,NCA_72_20_60,81,60,20,0.9653893695920889,0.9795216311224699,0.9174214327411547,1.0416218295037851,True
NCA,NCA_72_20_60,120,60,20,0.9567367119901112,0.9816409924165581,0.9195407940352429,1.0437411907978733,True
NCA,NCA_84_50_60,0,60,50,1.0,0.9888034009884316,0.9267032026071164,1.0509035993697466,True
NCA,NCA_84_50_60,28,60,50,0.971958764187528,0.9691567817213922,0.907056583340077,1.0312569801027074,True
NCA,NCA_84_50_60,56,60,50,0.9618033293072399,0.9534459147979154,0.8913457164166002,1.0155461131792305,True
NCA,NCA_84_50_60,81,60,50,0.9499745163446197,0.9427441661769671,0.8806439677956519,1.0048443645582823,True
NCA,NCA_84_50_60,120,60,50,0.9385815306706413,0.9323145134874282,0.870214315106113,0.9944147118687434,True
NCA,NCA_118_20_60,0,60,20,1.0,0.999517529198709,0.9374173308173938,1.0616177275800243,True
NCA,NCA_118_20_60,28,60,20,0.9819854379552003,0.9888804584327351,0.9267802600514199,1.0509806568140503,True
NCA,NCA_118_20_60,56,60,20,0.9760814414142828,0.9821791400103239,0.9200789416290087,1.0442793383916391,True
NCA,NCA_118_20_60,81,60,20,0.9673076914862825,0.9795216311224699,0.9174214327411547,1.0416218295037851,True
NCA,NCA_118_20_60,120,60,20,0.9594840913388487,0.9816409924165581,0.9195407940352429,1.0437411907978733,True
NMC,NMC_84_50_60,0,60,50,1.0,0.9929400039475513,0.9308398055662361,1.0550402023288665,True
NMC,NMC_84_50_60,37,60,50,0.9927994140022831,0.9678142452798861,0.9057140468985709,1.0299144436612013,True
NMC,NMC_84_50_60,57,60,50,0.9860396789627716,0.957094206704898,0.8949940083235828,1.0191944050862132,True
NMC,NMC_84_50_60,80,60,50,0.9835705383975902,0.9472485979736255,0.8851483995923103,1.0093487963549408,True
NMC,NMC_84_50_60,120,60,50,0.9731398410549438,0.9364511164465481,0.8743509180652329,0.9985513148278633,True
NMC,NMC_115_50_60,0,60,50,1.0,0.9929400039475513,0.9308398055662361,1.0550402023288665,True
NMC,NMC_115_50_60,37,60,50,0.9995645203516312,0.9678142452798861,0.9057140468985709,1.0299144436612013,True
NMC,NMC_115_50_60,57,60,50,0.992050106149516,0.957094206704898,0.8949940083235828,1.0191944050862132,True
NMC,NMC_115_50_60,80,60,50,0.9883665678556024,0.9472485979736255,0.8851483995923103,1.0093487963549408,True
NMC,NMC_115_50_60,120,60,50,0.9840638818614313,0.9364511164465481,0.8743509180652329,0.9985513148278633,True
